county_state,GOP_2020,Avg_Trump_vote,Vax_Pct,Vax_5Plus_Pct,Vax_12Plus_Pct,Vax_18Plus_Pct,Vax_65Plus_Pct,COVID_Deaths_Per_10K,All_Deaths_Per_10K,median_age
Latah County_ID,0.460476428,0.460476428,61.29999924,64.5,67.59999847,68.69999695,95,11.91,193.24,31.10000038
Waldo County_ME,0.460361838,0.460361838,73.5,76.80000305,80.19999695,81.90000153,95,13.03,301.66,47.09999847
Hillsborough County_FL,0.459787965,0.459787965,64.59999847,68.69999695,73.09999847,74.40000153,92.69999695,29.04,314.4,38
Rensselaer County_NY,0.459645629,0.459645629,72.30000305,75.90000153,79.40000153,80.30000305,94.90000153,21.03,324.9,40.5
Kendall County_IL,0.459341168,0.459341168,70.69999695,75.30000305,80,81.40000153,95,2.52,96.91,36.09999847
Kent County_MI,0.459055305,0.459055305,62.79999924,67,72.09999847,73.59999847,89.80000305,34.18,341.88,36
Atlantic County_NJ,0.458826125,0.458826125,69.40000153,73.19999695,77.30000305,79.09999847,90.5,39.39,393.03,42.29999924
Clark County_WA,0.458611548,0.458611548,66.80000305,70.90000153,75.19999695,76.80000305,95,19.14,291.2,38.90000153
Montgomery County_VA,0.458045602,0.458045602,47.29999924,49.20000076,50.90000153,50.90000153,73.80000305,32.7,303.84,31
Chesterfield County_VA,0.457740664,0.457740664,57.70000076,61.29999924,65.59999847,66.69999695,84.80000305,18.72,262.35,39.20000076
Caddo Parish_LA,0.457726479,0.457726479,49.5,52.90000153,57.40000153,59.5,80.09999847,85.67,607.79,39.09999847
Chesapeake city_VA,0.457720995,0.457720995,53.59999847,57.09999847,62,62.90000153,81.19999695,18.94,258.97,37.5
DeKalb County_IL,0.456458777,0.456458777,57.59999847,61,63.90000153,64.59999847,93.59999847,24.5,276.16,32
Lehigh County_PA,0.456161708,0.456161708,75.40000153,79.90000153,84.59999847,86.80000305,95,63.27,489.14,39
Lake County_CA,0.455659717,0.455659717,60.5,64.30000305,69.09999847,71.30000305,81.80000305,16.29,340.43,43.90000153
Peoria County_IL,0.455527365,0.455527365,62.90000153,67.40000153,71.30000305,73.09999847,89.30000305,75.85,616.61,38.29999924
Socorro County_NM,0.454608947,0.454608947,70.59999847,74.80000305,78.90000153,80.30000305,85.69999695,23.3,309.61,40.09999847
Oktibbeha County_MS,0.454472035,0.454472035,52.29999924,55.20000076,57.90000153,58.29999924,89.80000305,33.95,224.53,26.29999924
Grant County_NM,0.453966051,0.453966051,71.5,75,78.69999695,80.09999847,92.5,23.31,389.4,48.59999847
Terrell County_GA,0.453804344,0.453804344,59.20000076,62.90000153,68.09999847,71,89.90000153,13.39,273.32,41.29999924
Chaffee County_CO,0.453597724,0.453597724,65.30000305,67.59999847,69.90000153,71.19999695,90.90000153,21.92,283.45,47.70000076
Lackawanna County_PA,0.453461558,0.453461558,72.80000305,76.59999847,80.30000305,81.5,93.90000153,49.15,500.55,41.90000153
Hillsborough County_NH,0.452843666,0.452843666,62.5,65.90000153,69.5,71.09999847,88,25.96,305.46,40.79999924
Randolph County_GA,0.452326715,0.452326715,47.79999924,50.59999847,54.09999847,55.29999924,62.40000153,20.68,329.25,45.90000153
Lee County_AR,0.45154494,0.45154494,41.09999847,43.29999924,45.90000153,47.09999847,71.69999695,19.72,308.62,41.59999847
Kent County_RI,0.451172471,0.451172471,80.59999847,84.59999847,87.5,88.5,95,30.93,332.07,43.59999847
Fresno County_CA,0.450822204,0.450822204,63,68.09999847,73.90000153,75.59999847,91.90000153,31.83,295.4,33.09999847
Dauphin County_PA,0.450626999,0.450626999,66.30000305,70.5,74.59999847,76.59999847,93.5,52.23,441.3,39.40000153
Riverside County_CA,0.450433463,0.450433463,60.90000153,65,69.90000153,71.40000153,86.5,34.35,278.11,36.59999847
Haywood County_TN,0.449388355,0.449388355,54,57.09999847,61.90000153,65.09999847,81.80000305,14.13,279.76,42.5
Watauga County_NC,0.44851023,0.44851023,57.90000153,59.70000076,60.90000153,61.29999924,86,28.58,295.02,34.70000076
Maverick County_TX,0.448390454,0.448390454,95,95,95,95,95,44.78,260.27,30.10000038
Washington County_NC,0.448186934,0.448186934,52.5,55.29999924,59,61.20000076,83,34.89,430.59,49
Crittenden County_AR,0.448035687,0.448035687,47.20000076,51.20000076,56,58.20000076,73,14.31,264.7,35.90000153
Will County_IL,0.447967738,0.447967738,69.30000305,73.30000305,77,78.30000305,92.40000153,21.43,236.43,38.79999924
Deer Lodge County_MT,0.446943372,0.446943372,59.29999924,61.29999924,62.5,62.20000076,87.19999695,44.25,420.4,49.40000153
Cibola County_NM,0.446478724,0.446478724,73.69999695,78.30000305,82.19999695,82.59999847,95,41.94,311.95,37.70000076
Sandoval County_NM,0.446357191,0.446357191,74.30000305,78.30000305,82.19999695,83.19999695,95,53.97,351.72,40.70000076
Skagit County_WA,0.446208954,0.446208954,68.80000305,72.90000153,77.19999695,78.5,94.30000305,20.96,360.61,41.79999924
Genesee County_MI,0.445943266,0.445943266,51.20000076,54.40000153,58.90000153,61.09999847,83.5,44.48,451.65,40.70000076
Ziebach County_SD,0.445916116,0.445916116,37.59999847,39.70000076,40,40.40000153,54.20000076,54.62,634.45,33.70000076
Nassau County_NY,0.445872843,0.445872843,85,89.69999695,94.40000153,95,95,48.51,318.05,41.79999924
Lancaster County_NE,0.445835322,0.445835322,68.30000305,72.59999847,76,76.5,95,26.75,319.37,34.29999924
Johnson County_KS,0.445441425,0.445441425,80,84.80000305,88.90000153,90.19999695,95,25.77,266.61,38.29999924
Pitt County_NC,0.445137203,0.445137203,57.59999847,61,64.59999847,66.09999847,95,48.38,544.64,33.09999847
Black Hawk County_IA,0.445091814,0.445091814,61.79999924,65.80000305,69.59999847,71,93.5,48.86,402.32,35.79999924
Summit County_OH,0.44508028,0.44508028,65,68.69999695,71.90000153,73.30000305,90.30000305,42.58,437.12,41.20000076
Orange County_CA,0.444559962,0.444559962,73.69999695,78,81.80000305,82.59999847,92.30000305,27.81,256.84,39.09999847
Deschutes County_OR,0.444336206,0.444336206,70.90000153,74.5,77.90000153,79.19999695,95,28.22,316.26,42.40000153
Gallatin County_MT,0.443257302,0.443257302,60.90000153,64.30000305,67.5,68.90000153,93.09999847,10.68,174.47,34
Clark County_NV,0.443111122,0.443111122,59.40000153,63.20000076,67.80000305,69.40000153,83.59999847,41.31,322.11,38.20000076
Douglas County_WI,0.442638904,0.442638904,47.29999924,49.70000076,52.70000076,54.29999924,77.19999695,20.13,234.37,42.59999847
Dutchess County_NY,0.442503422,0.442503422,72.30000305,75.59999847,78.59999847,79.5,93.90000153,33.96,335.09,42.40000153
Washington County_MN,0.442267329,0.442267329,72.40000153,76.40000153,78.90000153,80.09999847,95,16.12,199.19,39.70000076
Merrimack County_NH,0.441788018,0.441788018,69.19999695,72.5,75.90000153,77.90000153,95,23.13,364.99,42.79999924
Fort Bend County_TX,0.441151947,0.441151947,73.30000305,78.40000153,83.30000305,84.09999847,95,14.66,156.02,37.09999847
Radford city_VA,0.44082278,0.44082278,35,36.29999924,38.09999847,38.59999847,69.59999847,11.52,219.41,24.39999962
Marlboro County_SC,0.440677971,0.440677971,45.90000153,48.5,52,53.70000076,70.59999847,6.44,266.85,41.29999924
Newton County_GA,0.440111369,0.440111369,43.29999924,46.20000076,50.40000153,52.70000076,78.19999695,28.43,247.67,36.59999847
Willacy County_TX,0.439899087,0.439899087,67.19999695,71.69999695,76.5,77.30000305,85.09999847,6.4,136.84,33.09999847
Northampton County_VA,0.438948303,0.438948303,72.5,76.30000305,81.19999695,82.90000153,92.59999847,26.48,368.23,51.59999847
Ashland County_WI,0.438620538,0.438620538,73.69999695,78.09999847,81.80000305,83.5,95,30.42,375.61,42.29999924
Staunton city_VA,0.438414156,0.438414156,46.90000153,50,53.70000076,55.09999847,73.80000305,15.2,377.62,41.79999924
Frederick County_MD,0.437331319,0.437331319,80.90000153,85.5,88.90000153,89.69999695,95,20.8,237.93,39.09999847
Tallahatchie County_MS,0.437181503,0.437181503,42.40000153,45,48.20000076,49.40000153,73.40000153,17.79,297.59,37.5
Hoke County_NC,0.436850131,0.436850131,42.59999847,46.40000153,50.59999847,51.5,74.09999847,14.87,195.43,33.79999924
Franklin County_VT,0.436469227,0.436469227,38,40.29999924,41.90000153,42.29999924,51.40000153,12.92,270.64,41
Sussex County_VA,0.436124206,0.436124206,35.79999924,37.29999924,39.79999924,41.40000153,61.79999924,15.79,312.18,40.09999847
Hays County_TX,0.436003178,0.436003178,63.5,67.40000153,71.30000305,72.09999847,95,20.16,194.44,33.70000076
Chatham County_NC,0.435934901,0.435934901,68.80000305,72,74,76.09999847,91.80000305,16.69,368.47,48.40000153
San Bernardino County_CA,0.435537517,0.435537517,59.29999924,63.70000076,68.90000153,70.69999695,86,40.24,283.67,34.20000076
Merced County_CA,0.435128838,0.435128838,52.29999924,56.59999847,62.29999924,64.69999695,84.59999847,20.56,195.17,31.70000076
Rock County_WI,0.435074985,0.435074985,70.90000153,75.30000305,79.80000305,82.5,95,27.98,357.77,40.09999847
Eau Claire County_WI,0.434852004,0.434852004,63.20000076,66.59999847,69,69.80000305,93.09999847,40.96,418.69,35.5
Marquette County_MI,0.434733868,0.434733868,65.69999695,68.69999695,72.59999847,73.59999847,95,37.97,434.78,39.79999924
Lincoln County_ME,0.43468678,0.43468678,83.59999847,87.19999695,90,91.19999695,95,7.54,310.09,51.20000076
Olmsted County_MN,0.434338242,0.434338242,79.09999847,84.09999847,87.40000153,88.69999695,94.5,36.77,474.56,37.5
Palm Beach County_FL,0.432914108,0.432914108,67.90000153,71.5,75.59999847,77,90.5,40.03,386.4,45.40000153
Tolland County_CT,0.432287127,0.432287127,68.40000153,71.19999695,73.09999847,73.5,95,9.58,178.38,37.70000076
Rutland County_VT,0.431910515,0.431910515,71.19999695,74.40000153,76.80000305,77.80000305,92.80000305,15.84,402.87,46.90000153
Winchester city_VA,0.431273758,0.431273758,43.20000076,46,50.70000076,52.5,71.09999847,236.35,1525.09,37.20000076
Clay County_SD,0.431028426,0.431028426,70.69999695,74.40000153,76.30000305,76,95,9.9,179.54,25.70000076
Douglas County_NE,0.430892467,0.430892467,68.80000305,73.90000153,77.69999695,78.40000153,94.90000153,34.89,336.41,35.5
Cameron County_TX,0.429449797,0.429449797,80.30000305,87,92,91.5,93.40000153,60.26,310.03,32.5
